Date,Open,High,Low,Close,Adj Close,Volume
2005-03-30,9880.000000,9990.000000,9880.000000,9960.000000,7286.502441,18145000
2005-03-31,10120.000000,10140.000000,10020.000000,10040.000000,7345.025879,17335000
2005-04-01,10040.000000,10320.000000,10000.000000,10240.000000,7491.344727,22655000
2005-04-04,10240.000000,10340.000000,10200.000000,10340.000000,7564.498047,17215000
2005-04-05,10340.000000,10340.000000,10340.000000,10340.000000,7564.498047,0
2005-04-06,10360.000000,10400.000000,10200.000000,10360.000000,7579.131348,20505000
2005-04-07,10360.000000,10400.000000,10300.000000,10360.000000,7579.131348,17855000
2005-04-08,10480.000000,10500.000000,10400.000000,10440.000000,7637.655273,13945000
2005-04-11,10440.000000,10440.000000,10320.000000,10340.000000,7564.498047,9565000
2005-04-12,10320.000000,10400.000000,10260.000000,10400.000000,7608.391113,10385000
2005-04-13,10360.000000,10400.000000,10320.000000,10360.000000,7579.131348,10675000
2005-04-14,10260.000000,10280.000000,10040.000000,10040.000000,7345.025879,33175000
2005-04-15,10000.000000,10040.000000,9780.000000,9830.000000,7191.395020,43345000
2005-04-18,9470.000000,9630.000000,9440.000000,9520.000000,6964.608887,43245000
2005-04-19,9540.000000,9600.000000,9480.000000,9480.000000,6935.344727,30145000
2005-04-20,9570.000000,9660.000000,9380.000000,9400.000000,6876.818359,32885000
2005-04-21,9240.000000,9400.000000,9150.000000,9320.000000,6818.291016,29320000
2005-04-22,9500.000000,9520.000000,9340.000000,9340.000000,6832.922363,16725000
2005-04-25,9240.000000,9490.000000,9240.000000,9490.000000,6942.659180,16435000
2005-04-26,9490.000000,9490.000000,9420.000000,9420.000000,6891.450684,9375000
2005-04-27,9260.000000,9340.000000,9220.000000,9280.000000,6789.029785,20590000
2005-04-28,9260.000000,9270.000000,9140.000000,9200.000000,6730.503418,19700000
2005-04-29,9040.000000,9130.000000,8990.000000,9040.000000,6613.450195,29275000
2005-05-02,9120.000000,9160.000000,9000.000000,9110.000000,6664.658691,11845000
2005-05-03,9100.000000,9230.000000,9050.000000,9100.000000,6657.345215,13870000
2005-05-04,9100.000000,9340.000000,9100.000000,9290.000000,6796.344238,17315000
2005-05-05,9290.000000,9290.000000,9290.000000,9290.000000,6796.344238,0
2005-05-06,9330.000000,9510.000000,9330.000000,9480.000000,6935.344727,24680000
